a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_ei_in_source
417	0.591	Vaikka joutuisimme asumaan erillään, niin meillä toimii luottamus hyvin ja etäsuhteessa on se hyvä puoli, että se alkukipinä pysyy kokoajan yllä, Alina virnisti toukokuussa.	Even though we would have to live apart, our trust in each other is good, and a good thing about a long-distance relationship is that the first spark never goes out, Alina grinned in May.	Even if we have to live separately, we have good confidence and the good thing about the distance is that the initial spark remains over the whole time, Alina smiled in May.	0	ref and system use different forms (never goes out vs. remains the whole time)	0
1012	0.591	Kun mitään ei tapahdu, tehdään väärä johtopäätös.	When nothing happens, wrong conclusions are drawn.	When nothing happens, the wrong conclusion is drawn.	0		1
1928	0.591	Washington Postin mukaan kyse on rikostutkintaa rajatummasta selvityksestä, eikä se välttämättä tule julkiseksi.	According to Washington Post, the ongoing investigation is a report more restricted than a criminal investigation, and it may not become available to the public.	According to the Washington Post, this is a more limited investigation than a criminal investigation and may not become public.	0		eikä
1158	0.591	En voisi mitenkään kuvitella omaa siskoani samaan tilanteeseen, koska meille on kerrottu ja varoiteltu koko lapsuutemme ajan, että päihteisiin ei saa koskea ja seksi on aikuisten juttu.	I could’ve not imagined my own sister in the same situation, because throughout our childhood we've been told and advised that we should not touch intoxicants and sex is an adult thing.	I could not possibly imagine my own sister in the same situation, because we have been told and warned throughout our childhood that intoxicants must not be touched and sex is an adult thing.	0		1
1806	0.591	Statussymbolit eivät houkuta ystäviä - Neljä faktaa suosiosta	Status symbols do not attract friends - Four facts about popularity	Status symbols do not attract friends - Four facts about popularity	0		1
541	0.604	Yhteistyöstä ei koskaan tehty kirjallista sopimusta.	There never was a written agreement about the co-operation	There was never a written agreement on cooperation.	0		1
614	0.618	Edellisen yön kipakat pakkaset eivät ole toistumassa, koska pilvipeiton alla lämpötilat pysyvät korkeampina.	Last night’s biting cold is not going to repeat, since the temperature will remain warmer under the cloud cover.	The frosty frosts of the previous night are not going to happen again because temperatures remain higher under cloud cover.	0		1
1075	0.619	Aiemmin vastaavaan ei ollut yltänyt yksikään eurooppalaispari.	Earlier no European pair has reached a feat like that.	In the past, no European couple had achieved this.	0		1
1078	0.621	HJK tuomitsee kannattajiensa rajun häiriköinnin Honka-ottelussa: "Väkivalta ei kuulu jalkapalloon"	HJK condemns its supporters violent troublemaking in the match against Honka: ‘Violence does not belong to football’	HJK condemns the violent harassment of its supporters in the Honka match: "Violence is not part of football"	0		1
122	0.622	Jos palkintoa ei anneta Korean niemimaan diplomatiaan osallistuneille, on yksi kärkiehdokkaista kongolainen lääkäri Denis Mukwege.	If the Price is not awarded to participants of diplomacy on Korean peninsula, one of the top nominees is a Congolese doctor Denis Mukwage.	If the prize is not given to those involved in diplomacy on the Korean Peninsula, Denis Mukwege, a Congolese doctor, will be one of the top candidates.	0		1
1145	0.638	Lapsille se ei vaikuta mitenkään vaikealta.	Children seem to have no problems to do this.	For children, it does not seem difficult in any way.	0		1
223	0.648	Sote-valmistelijat eivät kirjoita mihinkään papereihin sitä, että Attendo on rakentanut Vaalaan uuden hoivakodin, joka odottaa nyt tyhjillään asukkaita.	Social welfare and health care reform draughtspersons will not commit to writing that Attendo has built a new nursinghome to Vaala, and now it is empty, waiting for residents.	Sote draftsmen do not write in any papers that Attendo has built a new care home in Vaala, which is now waiting empty for residents.	0		1
1874	0.657	YK:n yleiskokouksessa lauantaina puhunut ulkoministeri Walid Muallem sanoo, että ulkomaalaisten joukkojen on lähdettävä Syyriasta välittömästi ja ilman ehtoja.	Speaking for the United Nations General Assembly on Saturday, Foreign Minister Walid Muallem says the foreign troops must leave Syria immediately and without any stipulations.	Speaking at the UN General Assembly on Saturday, Foreign Minister Walid Muallem says foreign troops must leave Syria immediately and unconditionally.	0	ref and system use different forms	without
393	0.658	Maski ei pidä viruksia kurissa, mutta pitää käyttäjän tietoisena pään alueesta.	The mask doesn’t filter out viruses, but it keeps the user aware of the head area.	The mask does not control viruses, but keeps the user aware of the area of the head.	0		1
1334	0.659	Taifuuni Tramissa on loukkaantunut ainakin 50 ihmistä, mutta viranomaisten mukaan isoilta vammoilta on vältytty eikä kuolonuhreista ole toistaiseksi tietoa.	At least 50 people have been injured in typhoon Trami, but the official say there have been no major injuries and there is no information so far about fatalities.	At least 50 people have been injured in Typhoon Tram, but authorities say major injuries have been avoided and no fatalities are known so far.	0		eikä
692	0.671	Lotossa ei löytynyt kierroksella 39/2018 täysosumia.	During the round 39/2018, there were no jackpot matches.	No full hits were found in Loto in round 39 / 2018.	0		1
493	0.672	Hall piti lupauksensa, eikä häntä enää nähty huhtikuussa järjestetyissä, vuoden 2018 maailman vahvin mies -kisoissa.	Hall kept his promise, and he wasn’t seen in the 2018 World’s Strongest Man competition, organised in April.	Hall kept his promise and was no longer seen at the 2018 World's Strongest Man Games in April.	0		eikä
87	0.674	Teemu Pukki hankki rangaistuspotkun - ei päässyt itse ampumaan	Teemu Pukki gained a penalty kick - didn't get to shoot it himself	Teemu Pukki acquired a penalty kick - couldn't shoot himself	0		1
1270	0.675	Viraston mukaan tviitti oli valheellinen ja harhaanjohtava, eikä Musk ollut puhunut järjestelystä yhtiön muun johdon tai potentiaalisten rahoittajien kanssa.	According to SEC, the tweet was false and misleading, and Musk had not discussed the deal with the company’s other directors or potential financing partners.	The agency said the tweet was false and misleading, and Musk had not spoken about the arrangement with the company's other management or potential financiers.	0		eikä
1134	0.69	Suuri Koralliriutta ei silti ole lastenesitys vaan esitys, jonka aikuiset ja lapset tekevät yhteistoiminnassa.	Still, Great Barrier Reef is not a children’s performance, but a performance formed in co-operation between the adults and the children.	However, the Great Coral Reef is not a children's performance, but a performance made jointly by adults and children.	0		1
506	0.707	Pelastuslaitoksen mukaan henkilövahingoilta vältyttiin.	According to the rescue department, there were no injuries.	According to the Rescue Department, personal injury was avoided.	0	ref and system use different forms	0
1354	0.708	Ehkä se näkyikin, mutta Ässät ei asiaa osannut hyödyntää.	And maybe it did, but Ässät just didn’t manage to capitalise on it.	Maybe it was visible, but Aces couldn't take advantage of it.	0		1
999	0.709	Hän sanoo, että rikostilastot eivät kerro todellista tilannetta.	She says the crime statistics do not reveal the actual situation.	He says that crime statistics do not reflect the real situation.	0		1
1642	0.733	Suomeen tulevien ryhmään valitaan enemmän ihmisiä kuin kiintiössä on, koska käytännössä osa jää eri syistä saapumatta.	There are more people selected to the group arriving in Finland than the quota requires, since in practice some of them will not arrive for different reasons.	More people are elected to the group coming to Finland than there are in the quota, because in practice some are not arriving for various reasons.	0		0
857	0.741	Poliisi ei kerro, onko heidät otettu jo kiinni.	The police do not say whether they have been already caught.	The police do not say whether they have already been apprehended.	0		1
1036	0.745	Missikaunotar kertoi, ettei halua avata eron syitä tarkemmin julkisuudessa, sillä se on hänen ja Roope Salmisen välinen asia.	The beauty queen said she doesn’t want to publicly open up about the reasons for the divorce, because that is just between her and Roope Salminen.	Missikaunotar said that she did not want to open up the reasons for the resignation in more detail in public, as it was a matter between her and Scrooge Salminen.	0	slight difference in meanings	ettei
860	0.745	STT kertoo, että poliisin mukaan suurella yleisöllä ei kuitenkaan ole enää aihetta huoleen, sillä uhka kohdistui tiettyihin ihmisiin.	STT reports that according to the police, the general public has no reason to worry, because the threat was directed at certain people.	The STT reports that, according to the police, however, the general public no longer has cause for concern, as certain people were threatened.	0		1
366	0.764	Huippuluvuilla ei sinänsä ole enää mitään käytännön merkitystä, sillä Heikki Luoman ja Jukka Mäkisen sarjalle ei ole tulossa jatkoa.	The top numbers don’t have any practical meaning as such, because there's going to be no continuation to Heikki Luoma and Jukka Mäkinen’s drama.	The peaks in themselves no longer have any practical significance, as Heikki Luoma's and Jukka Mäkinen's series will not be continued.	0		1
960	0.768	Toki esitys ei korostakaan olevansa antiikin esitystraditiolle uskollinen.	Of course the performance does not even claim to be faithful to the classical performance tradition.	Of course, the performance does not stress that it is faithful to the ancient tradition of performance.	0		1
14	0.788	Minulla ei ollut ainakaan mitään tietoista erilaista latausta, kun pelasin entistä joukkuettani vastaan, Määttänen sanoi.	I for one didn't have any conscious energy differences when playing against my old team, Määttänen said.	I certainly didn't have any conscious different charge when I played against my former team, "Määttänen said.	0		1
1149	0.798	Ihmisen ymmärryksen ylittävien tuhojen ei pidä antaa kovettaa, vaikka voisi olla vaikeaa käsittää, mitä merkitystä omalla myötätunnon harjoittamisella enää tuhonäkyjen edessä on.	One should not let themselves be hardened by the destruction surpassing human understanding, even though it can be difficult to understand the significance of practising one’s own compassion in the face of these visions of destruction.	Destruction beyond human understanding must not be allowed to harden, although it could be difficult to understand the significance of one's own exercise of compassion in the face of destructive visions.	0		1
841	0.81	Tanskan poliisi löysi suur­operaatiossa etsityn Volvon: "Emme voi kertoa mistä"	Danish police found the Volvo searched for in a large operation: ‘We cannot disclose where’	Danish police found Volvo searched for in a large-scale operation: "We can't tell where"	0		1
170	0.825	Ei käyttöä ambulansseille	No use for ambulances	No use for ambulances	0		1
1090	0.83	"Väkivalta ei siihen kuulu", tiedotteessa sanotaan.	‘Violence is not part of that’, the press release says.	"Violence is not part of it," the press release says.	0		1
387	0.838	Töihin voi palata, kun yskä hellittää eikä kuumetta ole enää, sanoo lääketieteen professori Gregory Poland.	Return when you are no longer coughing and no longer have a fever, says medical professor Gregory Poland.	You can return to work when the cough subsides and there is no fever anymore, says Gregory Poland, a professor of medicine.	0		eikä
1349	0.848	Kuusi peliä on vasta pelattuna, eikä tässä ole tietenkään mitään syytä luovuttaa.	We’ve only played six games, and there’s no reason to give up.	Six games have only just been played and, of course, there is no reason to give up here.	0		eikä
1077	0.85	Kukaan eurooppalaispelaaja ei ole voittanut viittä pistettä yhdessä Ryder Cupissa, eikä amerikkalaisistakaan moiseen ole päässyt kuin kolme pelaaja: Arnold Palmer ja Gardiner Dickinson (1969) ja Larry Nelson (1979).	No European player has won five points in a single Ryder Cup, and only three Americans have managed such achievement: Arnold Palmer and Gardiner Dickinson (1969) and Larry Nelson (1979).	No European player has won five points in one Ryder Cup, and even the Americans have only three players: Arnold Palmer and Gardiner Dickinson (1969) and Larry Nelson (1979).	0		1
866	0.861	Kansanäänestyksen kysymyksessä ei mainita uutta nimeä, vaan tiedustellaan, kannattaako äänestäjä Makedonian EU- ja Nato-jäsenyyttä hyväksymällä sopimuksen.	The question in the referendum does not mention a new name, but inquires whether the voter support Macedonian membership in EU and NATO by accepting the deal.	The referendum question does not mention a new name, but asks whether the voter is in favour of Macedonia's membership of the EU and NATO by approving the agreement.	0		1
906	0.883	Uhri sai ruhjevammoja, jotka eivät vaatineet lääkärissä käyntiä.	The victim was bruised, but the injuries did not require a visit to a doctor.	The victim suffered bruising injuries that did not require a visit to the doctor.	0		1
671	0.89	Olin piirtänyt viimeksi lapsena, mutta kun näitä Luomuhömpän käsikirjoituksia alkoi silloin syntyä, niin tilanne muuttui.	I hadn’t drawn since childhood, but when these scripts for Luomuhömppä then started to emerge, the situation changed.	I had last drawn as a child, but when these manuscripts of Luomuhömpä started to emerge then, the situation changed.	0	ref and system use different forms (hadn't drawn since vs. had last drawn)	0
653	0.89	Alinan poikaystävä Joonas Hurri jääkiekkoilee työkseen Japanissa, eikä päässyt Suomeen kannustamaan rakastaan finaalissa.	Alina’s boyfriend Joonas Hurri is a professional ice hockey player in Japan, and he wasn’t able to come to Finland to support his dearest in the final.	Alina's boyfriend Joonas Hurri is playing ice hockey in Japan and couldn't get to Finland to encourage his love in the finals.	0		eikä
1986	0.895	Viimeinen tuomio ei ole syy	The reason is not the Last Judgement	The last judgment is not the reason	1	difference in interpretation, if not entirely a contradiction	1
1107	0.898	Työnantajan tehtävä on nyt pitää huoli siitä, että palvelut pelaavat ja ettei kenenkään henki ole uhattuna, Niemi-Laine sanoo STT:lle.	The employer’s task now is to take care of the services and that no one’s life is in danger, Niemi-Laine says to STT.	It is now up to the employer to ensure that the services play and that no one's life is threatened, "Niemi-Laine says to STT.	0		ettei
1817	0.907	Korkeaa statusta viestivät luk­susautot, merkkilaukut tai -kellot eivät tee ihmisestä coolia - tai ainakaan aidosti houkuttavaa seuraa.	Luxury cars, designer bags or watches signifying high status do not make a person cool - or at least not genuinely attractive company.	Wolf cars, designer bags or watches that communicate high status do not make a person cool - or at least genuinely attractive company.	0		1
1414	0.917	Ei ole iso ongelma alkaa kierrättää.	It's not a big problem to begin recycling.	It is not a big problem to start recycling.	0		1
1599	0.927	Ensimmäistä kertaa robottiautot kulkevat täysin automaattisesti muun liikenteen seassa ilman erityisiä liikennejärjestelyjä.	This is the first time robot cars operate completely automatically among other traffic without any specific traffic arrangements.	For the first time, robot cars will travel completely automatically among other traffic without any special traffic arrangements.	0		without
436	0.928	Lundberg totesi, että joukkue ei kuitenkaan syttynyt sellaiseen taisteluun, mitä hän odotti.	Lundberg said the team didn't however really fight the way he expected.	Lundberg noted, however, that the team did not spark the kind of battle he expected.	0		1
1992	0.936	Näinhän luonnollisestikaan ei ole, vaan kello on pysähtynyt teknisen syyn vuoksi: se on mennyt rikki.	This is naturally not the case, because the clock has stopped because of a technical malfunction: it’s broken.	Of course, this is not the case, but the clock has stopped for a technical reason: it has broken.	0		1
1486	0.943	Myrskyn noustessa hän eksyi eikä enää löytänyt takaisin leiriin.	As the storm blew up, he got lost and didn’t find his way back to the camp.	When the storm rose, he got lost and could no longer find his way back to the camp.	0		eikä
1004	0.945	Väkivaltatilanteissa on aina ollut se ongelma, että niistä ei aina synny fyysisiä vammoja.	Violent situations always have had the problem that there do not always result in physical injuries.	In situations of violence, the problem has always been that they do not always lead to physical injuries.	0		1
1014	0.952	Kun vartioinnin vuoksi häiriötilanteet pysyivät hyvin hallussa, syntyi mielikuva, että vartiointi olisikin tarpeetonta.	When security managed to control the disturbances, an impression was created that this security would be unnecessary.	When, as a result of security, disturbances remained well in hand, the impression was created that security was unnecessary.	0		0
875	0.969	Kansanäänestys ei ole sitova, mutta kyllä-äänten voitto antaisi mandaatin muuttaa perustuslakia.	The referendum is not binding, but if the yes votes win, it would give a mandate to change the constitution.	The referendum is not binding, but a "yes" vote would give a mandate to change the constitution.	0		1
1857	0.974	Lewisillä oli aikomus voittaa Valtteri, mutta hän ei onnistunut seiskamutkassa.	Lewis meant to win Valtteri, but he didn’t succeed in the seventh turn.	Lewis had the intention of beating Valtteri, but he did not succeed in a stoppage bend.	0		1
1159	0.99	Toivon, että nykyajan lapset pystyisivät elämään kunnollisen lapsuuden, eikä heidän tarvitsisi aikuistua liian aikaisin kavereiden luoman ryhmäpaineen takia.	I hope present-day children could live a proper childhood, and they wouldn’t need to grow up too early because of the peer pressure created by friends.	I wish modern children would be able to live a decent childhood and not have to grow up too early because of the group pressure created by friends.	0		eikä
919	0.995	Trump on sanonut, että Kanadan mukanaolo sopimuksessa ei ole välttämätöntä.	Trump has said it’s not essential to include Canada in the agreement.	Trump has said that Canada's involvement in the agreement is not necessary.	0		1
1067	1.007	Vankeusrangaistus ei ole miehen ensimmäinen.	The imprisonment is not the man's first.	The prison sentence is not the man's first.	0		1
1007	1.007	Liian moni pelkää työpaikallaan, vaikka varsinaista tekoa ei tapahdukaan.	Too many are afraid at their workplace, even though no actual violence would happen.	Too many people are afraid in their workplace, even if the actual act does not happen.	0		1
1431	1.023	Ei ole mitään syytä olettaa, että Venäjän federaation ulkomaantiedustelu SVR tai sotilastiedustelu GRU olisivat luopuneet tästä toimintatavasta.	There is no reason to suppose that the Foreign Intelligence Service of the Russian Federation (SVR) or The Main Directorate of the General Staff of the Armed Forces of the Russian Federation (GRU) would have abandoned this mode of operation.	There is no reason to suppose that the Russian Federation's foreign intelligence SVR or the military intelligence GRU have abandoned this course of action.	0		1
1995	1.031	Tilillä nimittäin mainitaan, että viimeinen tuomio ei ole syy kellon pysähtymiselle.	That is to say, the reason for the clock stopping is not the Last Judgement, the account mentions.	The account mentions that the last judgment is not the reason for the clock to stop.	0	swap in argument order, but better meaning preservation than previous example of argument order swap	1
164	1.033	Suurempaa dramatiikkaa tapaukseen ei Syrjän mukaan liittynyt, sillä aluksen vauhti oli tapahtumahetkellä hyvin alhainen eikä pohjaan osuminen aiheuttanut mainittavampaa törmäystä.	According to Syrjä, there was no bigger drama involved in the event, because the ship's speed was very low at the time of the event, and hitting the bottom did not cause any significant crash.	According to Syrjä, there was no greater drama involved, as the speed of the vessel was very low at the time of the incident and hitting the bottom did not cause a more significant collision.	0		1
959	1.037	Näyttelijät eivät poistu lainkaan näyttämöltä, joten esimerkiksi myös Troijan sodasta palaavan Agamemnonin ja tämän sotasaaliin Kassandran murhat näytetään näyttämöllä, toisin kuin antiikin esitystraditiossa oli tapana.	The actors never leave the stage, so also for example the murders of Agamemnon, who returns from the war of Troy, and his prize of war, Cassandra, are shown on the stage, unlike in the classical tradition.	Actors do not leave the stage at all, so the murders of Agamemnon, who is returning from the Trojan War, and Kassandra, for example, are also shown on the stage, contrary to ancient performance tradition.	0		1
1155	1.039	Minun mielestäni lapsien pitäisi olla lapsia koko lapsuutensa ajan, eikä sotkea elämäänsä päihteiden ja seksin takia, koska muutkin sanovat tekevänsä niin.	I think children should be children thoughout their childhood, and not mess up their lives because of intoxicants and sex, because all the others say they are doing that.	In my opinion, children should be children throughout their childhood and not mess up their lives because of substance abuse and sex, because others say they do.	0		eikä
420	1.054	Silti juuri mistään ei haluta luopua.	Yet people are not ready to give up practically anything.	Yet there is little desire to give up.	0	ref and system using interestingly different forms	1
1927	1.074	Selvitys ei saa kestää viikkoa kauempaa.	The investigation must not take more than a week.	The investigation shall not exceed one week.	0		1
920	1.086	Hän on aiemmin tiedottanut kongressille, että suunnitelmissa on allekirjoittaa sopimus marraskuun lopussa - oli Kanada mukana tai ei.	Earlier he notified the Congress that the plan is to sign the agreement in the end of November - whether Canada is involved in it or not.	He has previously informed Congress that there are plans to sign the agreement at the end of November - whether Canada is involved or not.	0		1
822	1.086	Eikä heidän nöyryyttään ollut ulkopuolisen helppo arvioida.	And their humility was not easy to estimate as an outsider.	And their humility was not easy for an outsider to judge.	0		eikä
1665	1.086	En tunne valitettavasti perustuslakia kovinkaan hyvin, mutta mahtaakohan se hyväksyä tällaisen "kaikki on kiellettyä, mitä ei laissa tai asetuksessa erikseen sallita" -menettelyn.	Unfortunately I don't know the Constitution all that well, but I wonder whether it permits this kind of ‘everything is forbidden if it's not separately permitted in an act or a decree’ procedure.	Unfortunately, I am not very familiar with the Constitution, but I wonder whether it will accept this' everything is forbidden, which is not expressly permitted by law or regulation '.	0	ref and system use interestingly different forms	1
764	1.097	Missään ei ole mitään tilastoja siitä, että Suomen poliisi olisi dronen käytön mestari.	There are no statistics available about Finnish police being a master in drone use.	Nowhere are there any statistics that the Finnish police are the champion of drone use.	0	ref and system use different forms	1
194	1.125	Harvoin on savua ilman tulta, sanoo Aaltola.	There is rarely smoke without fire, Aaltola says.	Rarely is there smoke without fire, says Aaltola.	0	rarely	0
949	1.176	Esimerkiksi Kansallisteatterissa on nähty viimeksi antiikin tragedia, Sofokleen Filoktetes, vuonna 1988.	For example, there has not been a classical tragedy in the Finnish National Theatre since Sophocles’ Philoctetes in 1998.	For example, the National Theatre last saw an ancient tragedy, the Philoctetes of Sofia, in 1988.	0	interestingly different forms	0
532	1.2	Olemme yrittäneet sovitella, mutta muuta vaihtoehtoa ei ole.	We have attempted to settle this, but there is no other option.	We have tried to mediate, but there is no alternative.	0		1
698	1.253	Indonesian maanjäristys: Lennonjohtaja uhrasi itsensä - ei jättänyt halkeilevaa tornia, ennen kuin sai sadat matkustajat turvaan	Indonesian earth quake: An air traffic controller sacrified himself - didn’t leave a fractured tower until he managed to save hundreds of travellers	Indonesia earthquake: Air traffic controller sacrificed himself - didn't leave cracking tower until he got hundreds of passengers to safety	0		1
150	1.254	Myös pysäyttäminen ilman pakottavaa syytä on kielletty, kuten totta kai myös pysäköinti.	In addition, stopping without a compelling reason is forbidden, as is naturally parking.	Stopping for no compelling reason is also prohibited, as is parking, of course.	0		without
848	1.263	Emme voi vielä kertoa, mistä auto löytyi, Henrik Storm Kööpenhaminan poliisin tiedotuksesta kertoo Ilta-Sanomille.	We cannot yet disclose where the car was found, says Henrik Storm form Copenhagen police communications to Ilta-Sanomat.	We cannot yet tell where the car was found, Henrik Storm from the Copenhagen police tells Ilta-Sanomat.	0		1
224	1.279	Muita palveluntuottajia ei ole.	There are no other service providers.	There are no other service providers.	0		1
1829	1.307	Blogin mukaan Zorbas-myrskyn suurin huolenaihe ei kuitenkaan ole tuuli, vaan rankat sateet.	According to the blog, the biggest concern of Zorba storm is not the wind though, but the heavy rain.	According to the blog, however, the main concern of storm Zorbas is not wind, but heavy rainfall.	0		1
1006	1.316	Ero väkivaltatilanteen ja uhkaavan väkivaltatilanteen välillä on vaikea vetää, kun tietyn tasoinen aggressiivinen uhkailukin on laskettava väkivallaksi - vaikka käsiksi käymistä ei olisikaan.	It is difficult to draw a line between a violent situation and an impending violent situation, since also aggressive threats of a certain level must be considers as violence - even though there was no physical violence.	The difference between a violent situation and a threatening violent situation is difficult to draw when a certain level of aggressive threats must also be counted as violence - even if there is no access.	0		1
1459	1.366	Linja-auton kuljettajaa ei epäillä rikoksesta.	The bus driver is not suspected of a crime.	The bus driver is not suspected of a crime.	0		1
386	1.567	Heti, kun tunnistat oireet, sinun ei pitäisi olla koulussa tai töissä.	As soon as you are aware of any symptoms, you should not be in school or at work.	As soon as you recognize the symptoms, you shouldn't be at school or at work.	0		1
