a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_source
490	0.25	Opozicinė Tėvynės sąjunga-Lietuvos krikščionys demokratai turėtų gauti daugiau kaip 0,66 mln. Eur, valdančiajai Valstiečių ir žaliųjų sąjungai - apie 0,55 mln. Eur, opozicinei Socialdemokratų partijai - apie 0,5 mln. Eur, opoziciniam Liberalų sąjūdžiui - beveik 0,4 mln. Eur, Seime savo frakcijos neturinčiai Darbo partijai - apie 0,23 mln. Eur, neseniai prie valdančiųjų prisijungusiai Tvarkos ir teisingumo partijai - beveik 0,22 mln. Eur, parlamente atstovaujamai, bet nei valdančiąja, nei opozicine nepasiskelbusiai Lenkų rinkimų akcijai-Krikščioniškųjų šeimų sąjungai - apie 0,18 mln. Eur.	The Homeland Union – Lithuanian Christian Democrats in opposition should get over 0.66 million euros, the ruling Farmers and Greens Union - about 0.55 million euros, the Social Democratic Party in opposition - about 0.5 million euros, the Liberal Movement in opposition - almost 0.4 million euros, the Labor Party that does not have its faction in the Seimas - about 0.23 million euros, the Party Order and Justice, which recently joined the ruling faction - almost 0.22 million euros, the Electoral Action of Poles in Lithuania – Christian Families Alliance, which is represented in the Seimas but which treats itself neither a ruling party nor a party in opposition - about 0.18 million euros.	The opposition Homeland Union - Lithuanian Christian Democrats should receive more than EUR 0.66 million, the ruling Union of Peasants and Greens - about EUR 0.55 million, the opposition Social Democratic Party - about EUR 0.5 million, the opposition Liberal Movement - almost EUR 0.4 million, the Labour Party, which does not have its own group in the Seimas - about EUR 0.23 million, the recently joined the Sustainable and Justice Party - almost EUR 0.22 million, but not represented by the opposition parliament - about EUR 18 million.	1		
888	0.255	"Jeigu atvirai, dar nespėjome su juo ir komanda išsamiai aptarti rezultatų ir pasipasakoti apie ateities planus.	"Speaking frankly, we did not have time yet to discuss the results with him and the team in detail and to share plans for the future.	"To be honest, we have not yet been able to discuss the results with him and the team in detail and talk about future plans.	0		
111	0.261	Socialdemokratas Algirdas Sysas apgailestavo, kad tokiu būdu Seimas dalį žmonių "paragins nesilaikyti prievolių" - deklaruoti išvykimą ir tada jokie mokesčiai nebūtų skaičiuojami.	A social-democrat Algirdas Sysas feared that in this way the Seimas “will encourage some people to defy their duties” by declaring departure and then no taxes would be charged.	Algirdas Sys, a Social Democrat, regretted that in this way the Seimas would "urge some people not to comply with their obligations" - to declare their departure and then no taxes would be calculated.	0		
626	0.262	Tačiau išvykdamas į paskutinius mitingus prieš JAV Kongreso vidurio kadencijos rinkimus D. Trumpas pareiškė žurnalistams nesantis tikras, ar tai būtų tinkama proga susitikti su Rusijos prezidentu.	However, before leaving for the last rallies before the US Congress midterm elections, D. Trump declared to journalists that he was not sure it was the right occasion to meet the Russian President.	However, leaving for the last rallies ahead of the US Congress mid-term elections, Mr Trump told journalists he was not sure whether this would be the right opportunity to meet the Russian president.	0		
1	0.271	"MG Baltic" byla: naujasis Gustainio advokatas sako dar nespėjęs susipažinti su bylos medžiaga	MG Baltic case: a new advocate of Mr. Gustainis says he has not read the case file yet	Mg Baltic case: New lawyer for Gustainis says he has not yet had access to the case file	0		
321	0.285	Prezidentūra: nereikia jokių dirbtinių palengvinimų dėl referendumo	President’s Office: no artificial easing regarding referendums is necessary	President: There is no need for any artificial facilitations for the referendum	0		
812	0.294	"Varadkaras leido suprasti, kad yra atviras naujų pasiūlymų peržiūrėjimui, su sąlyga, jeigu tokio peržiūrėjimo rezultatas nebus susijęs su vienašališku sprendimu nutraukti apsidraudžiamųjų priemonių taikymą", - sakoma vyriausybės pranešime.	“Varadkar indicated an openness to consider proposals for a review, provided that it was clear that the outcome of any such review could not involve a unilateral decision to end the backstop,” the Government statement said.	"Varadkar made it clear that he is open to reviewing the new proposals, provided that the result of such a review is not linked to a unilateral decision to terminate the hedging measures," the government report said.	0		
886	0.305	Jis sakė taip pat neplanuojantis dalyvauti ateinančiuose savivaldos rinkimuose.	He said he did not intend to run in the next municipal elections.	He said he also did not plan to participate in the next municipal elections.	0		
416	0.308	Iš muziejuose ir archyvuose saugomų išlikusių maždaug 10000 negatyvų šiam leidiniui atrinkta per 400 retų, daugiausia iki šiol nepublikuotų, nuotraukų, kurios sugrupuotos pagal parinktus tekstus.	Out of about 10,000 remaining negatives kept in museums and archives, over 400 rare photos, most of which have never been published, were selected for this publication, which have been grouped according to chosen texts.	From the approximately 10,000 negatives stored in museums and archives, over 400 rare photos, mostly not yet published, have been selected for this publication, which are grouped according to selected texts.	0		
60	0.313	"Dabar teikiamas modelis šios kritikos turėtų išvengti, nes gyvūnų apsaugą siūloma finansuoti padidėjusiomis pajamomis aplinkos apsaugos rėmimo programoje ir teisę ženklinti suteikiant ne tik veterinarijos gydytojams, bet ir visuomenininkams, t. y. gyvūnų globos įstaigų asmenims, išklausiusiems specialius kursus Veterinarijos akademijoje", - sako projekto autoriai.	“The current model should be spared this criticism, as it is proposed to finance pet protection with increased income in the program for supporting environmental protection and to give the right to do the marking not only to veterinarians but also to public activists, i.e. persons in animal shelters who have taken special courses in the Veterinary Academy," the authors of the draft say.	"The model now on the table should avoid this criticism, as it is proposed to finance animal protection through increased income in the environmental support programme and the right to label not only veterinarians but also socialists, i.e. persons in animal care institutions who have attended special courses at the Veterinary Academy," the authors of the project say.	0		
166	0.323	Vis tik tokias kalbas nuramino krepšinio operacijų prezidentas Magicas Johnsonas, pareiškęs, kad trenerio neatleis, bet žaisti reikia geriau.	Still, such talks were silenced by Magic Johnson, the President of Basketball Operations, who declared the coach would not be fired, but better play is expected.	However, such speeches were reassured by the President of Basketball Operations, Magic Johnson, who stated that he would not dismiss the coach, but that better play was needed.	1		
299	0.323	Netekome savo vaiko, bet "Lion Air" mums neparodė jokios atjautos".	We lost our child, but Lion Air has not shown any empathy to us.”	We lost our child, but Lion Air didn't show us any compassion. '	0		
189	0.342	Tikiu teisėsauga, tikiu savo vyru, kad viskas yra teisingai ir sąžiningai, kad jokių nesąžiningų jo veiksmų neturėtų būti padaryta", - BNS sakė V. Ačienė.	I believe in law enforcement authorities, I believe my husband, that everything is just and fair, that he has not taken any unfair actions,” V. Ačienė told BNS.	I believe in law enforcement, I believe in my husband that everything is right and fair, that no unfair actions should be done, "V. Ačienė told BNS.	0		
73	0.355	"Dėl politinių priežasčių tarp Kosovo ir Ukrainos mes negalėjome surengti šio mačo namuose, todėl labai džiaugiamės, kad mūsų draugai iš Vilniaus sutiko mus priimti, - "Rytui" dėkojo Ukrainos ekipos vyr. treneris Maksimas Michelsonas.	“Due to political relationship between Kosovo and Ukraine, we were unable to organize this match at home, therefore, we are very glad that our friends from Vilnius agreed to accept us,” Maxim Michelson, the chief coach of the Ukrainian team, thanked Rytas.	"For political reasons between Kosovo and Ukraine we were unable to organize this match at home, so we are very happy that our friends from Vilnius agreed to accept us," Maxim Michelson, the head coach of the Ukrainian team, thanked Rytas.	0		
854	0.365	Ministerijos duomenimis, Lenkijoje ir Austrijoje už produktų saugą reglamentuojančių teisės aktų pažeidimą skiriama iki 25 tūkst. eurų bauda (minimalus baudos dydis nenustatytas), Belgijoje - nuo 26 eurų iki 600 tūkst. eurų bauda, Rumunijoje - nuo 155 eurų iki 6 666 eurų bauda, Bulgarijoje - nuo 125 eurų iki 7 500 eurų bauda.	According to the ministry, in Poland and Austria a violation of legal acts on product safety is subject to a fine of up to EUR 25,000 (the minimal amount of the fine is not set), in Belgium - a fine of EUR 26 to 600,000, in Romania - a fine of EUR 155 to 6,666, in Bulgaria - a fine of EUR 125 to 7,500.	According to the Ministry, in Poland and Austria a violation of product safety legislation is subject to a fine of up to EUR 25 000 (no minimum amount of the fine), in Belgium a fine of between EUR 26 and EUR 600 000, in Romania a fine of between EUR 155 and EUR 6 666 and in Bulgaria a fine of between EUR 125 and EUR 7 500.	0		
48	0.37	2019-aisiais metais valstybės lėšomis bus nemokamai ženklinami visi šunys, o 2020-aisiais - dar ir katės, todėl gyventojams rūpesčių nekils ir kaštus padengs specialiai numatytas valstybinis finansavimas", - sakė Seimo Aplinkos apsaugos komiteto pirmininkas Kęstutis Mažeika.	In 2019 marking of all dogs, in 2020 also of all cats would be funded by the state, therefore, people would not have problems and the costs would be covered from special state financial assignments,” said Kęstutis Mažeika, the Chairman of the Seimas Committee on Environmental Protection.	In 2019, all dogs will be marked free of charge with public funds and cats will also be labelled in 2020, so citizens will not be concerned and the costs will be covered by specially planned public funding, "said Kęstutis Mažeika, Chairman of the Seimas Committee on the Protection of the Environment.	0		
876	0.372	Gynybiniu futbolu pasižymėjusi dvikova sukaustė žiūrovų dėmėsį, nes abi komandos kovojo dėl itin svarbių 3 taškų, o rungtynių nugalėtojas nebuvo aiškus iki pat paskutinės minutės.	The match, which demonstrated defensive football, drew fans’ attention as both the teams fought for very important 3 points, and the winner of the match was not clear until the very last minute.	The duel, which marked defensive football, caught the attention of the audience as both teams fought for crucial 3 points and the winner of the match was not clear until the very last minute.	0		
614	0.375	Taigi iš to nepatyrimo ne visi veiksmai mūsų tvarkas atitikdavo.	Thus, due to lack of experience not all the actions were in line with our procedures.	So not all the actions of this inexperience were in line with our procedures.	0		
517	0.396	"Aš raginu visas, ir valdžią, ir opoziciją palaikančias jėgas, nesišvaistyti nepagrįstais argumentais ir, gink Dieve, nepanaudoti šio nužudymo viešiesiems ryšiams, - sakė prezidentas.	“I urge all forces, both pro-government and pro-opposition, to spare unfounded arguments and, for God’s sake, not use this murder for public relations,” the President said.	"I urge all forces, both government and opposition, not to waste unfounded arguments and, defend God, not to use this murder for public relations," the president said.	0		
481	0.398	Anot Apeliacinio teismo, Jacques'as Boelis - Delphinės motinos buvęs vyras - nei biologine nei teisine prasme nėra menininkės tėvas.	According to the Court of Appeal, Jacques Boel - the former husband of Delphine’ mother - is not the artist’s father either biologically or legally.	According to the Court of Appeal, Jacques Boel - Delphine's mother's former husband - is not the artist's father either biologically or legally.	0		
124	0.427	Jei aplinkui neskraidytų dronas, jie greičiausiai būtų pasirinkę saugesnį kelią arba jį įveikę lėčiau ar atsargiau.	If there had been no drone flying around, they would have probably chosen a safer way or would have taken it slower or with more caution.	If the drone were not flying around, they would probably have chosen a safer road or overcome it more slowly or carefully.	0		
224	0.434	Tik neseniai Pasvalio komandą papildęs legionierius Y.Franke'as 88:93 pralaimėtame mače su Prienų "Skycop" įmetė 24 taškus, atkovojo 10 kamuolių ir išprovokavo 8 oponentų pražangas, surinkdamas net 31 naudingumo balą.	Foreign player Y. Franke, who arrived to Pasvalys team not long ago, in the lost game 88:93 against Prienai Skycop scored 24 points, got 10 rebounds and drew 8 opponent fouls by posting even 31 performance index rating.	Only recently, foreign player Y. Franke, who joined Pasvalys team, scored 24 points in a losing match with Prienai "SKYCOP, won 10 balls and provoked 8 opponent fouls, scoring as many as 31 efficiency points.	1		
399	0.437	Trumpuoju laikotarpiu siūloma, kad būtų susitarta, kaip turi būti apmokestintos gautos pajamos už tam tikrų skaitmeninių paslaugų teikimą ES valstybėse narėse, kol nėra sutarimo pasauliniu lygiu.	In the short term, it is proposed to agree how income received from provision of certain digital services in the EU Member States should be taxed, while there is no global agreement yet.	In the short term, it is proposed that agreement be reached on how revenues from the provision of certain digital services in EU Member States are to be taxed until there is consensus at global level.	0		
904	0.454	Planuojama, kad darbai netruks ilgiau nei tris mėnesius nuo sutarties pasirašymo.	The works are not to take more than 3 months after the contract was signed.	It is planned that the works will not take more than three months after the signing of the contract.	0		
801	0.466	"Atsižvelgus į gyvenamosios teritorijos apibrėžimą, akivaizdu, kad tokios vietos, kurioje būtų galima statyti aukščiau nurodytus objektus, būtų beveik neįmanoma atrasti", - teigia komiteto pirmininkas.	“Taking into account the definition of a residential territory, it is obvious that it would be almost impossible to find a place where the said objects could be constructed,” the chairman of the committee says.	"Given the definition of the territory of residence, it is clear that it would be almost impossible to find a place where the above objects could be built," the chairman of the committee says.	0		
509	0.482	Aš kaip prezidentas neturiu galimybės ir neprivalau gauti informacijos, kuri galėtų pakenkti tyrimo eigai.	I, as the President, have no possibility to get or must not get any information, which could undermine the course of the investigation.	As President, I do not have the opportunity and I do not have to obtain information that could undermine the progress of the investigation.	0		
414	0.486	Skelbiama medžiaga parodo ne tik tų tradicijų savitumą bei grožį, bet ir mūsų civilizacijos pažangą per praėjusį šimtmetį, nepaisant dviejų pasaulinių karų ir sunkios okupacijos.	The published material shows not only the peculiarity and beauty of those traditions, but also the progress of our civilization during the past century in spite of two world wars and oppressive occupation.	The published material shows not only the specificity and beauty of those traditions, but also the progress of our civilisation over the last century, despite two world wars and difficult occupation.	0		
170	0.487	Per pirmas dešimt sezono rungtynių išryškėjo ir kiti skaičiai, parodantys, kad "Lakers" žaidžia geriau, kai aikštėje nėra L. Jameso.	During the first ten matches of the season, other figures came up, showing that Lakers play better when L. James is not on the court.	During the first ten games of the season, other figures also emerged showing that the Lakers play better when L. James is not on the field.	0		
360	0.51	Anot jo, šeštajame praėjusio amžiaus dešimtmetyje statytas pastatas yra vertybė, 1993 metais įrašyta į registrą, ir ne politikai, o specialistai turi spręsti dėl jo išbraukimo.	According to him, the building, which was built in the sixth decade of the last century, is a cultural value entered into the register in 1993, and it is not for politicians, but for specialists to decide on its deletion from the register.	According to him, the building built in the 1950s is a value recorded in the register in 1993, and it is not for politicians, but for specialists to decide on its removal.	0		
343	0.514	Turime nemiegoti, jau dabar pradėti projektus, kurie išnaudos mūsų potencialą po 10, 20 ar 30 metų", - sakė susisiekimo ministras.	It’s not time to sleep, we must start the projects now, which will enable to exploit our potential in 10, 20 or 30 years time,” the Minister of Transport and Communications said.	We must not sleep, we must already start projects that will exploit our potential in 10, 20 or 30 years' time, "the Minister of Transport and Communications said.	0		
346	0.515	Mes spėjame pastatyti naujus kelius, bet net ir būtiniausiai priežiūrai, pavyzdžiui magistraliniuose keliuose, lėšų trūksta.	We are able to construct new roads, but there is not enough money even for the most necessary maintenance, for example, of main roads.	We are able to build new roads, but even for the most basic maintenance, such as expressways, there is a lack of funds.	0		
794	0.518	Valdantieji nebereikalauja 20 km atstumo, statant atliekų deginimo jėgaines	The ruling parties do not demand 20 km distance for waste-to-energy power plants any more	Those in power no longer require a distance of 20 km for the construction of waste-to-energy power plants	0		
460	0.529	Vilniaus apygardos prokuratūra apygardos teismo prašo panaikinti apylinkės teismo nuosprendį ir teigia, kad dėl avarijos didžiausia kaltė tenka E. Osipovui, o apylinkės teismo išvados nepagrįstos.	The Vilnius Regional Prosecutor’s Office asks the regional court to reverse the verdict of the district court and says that the major fault for the accident lies namely with E. Osipovas, and conclusions of the district court are unfounded.	The Vilnius Regional Prosecutor's Office asks the district court to annul the verdict of the district court and states that E. Osipov is the main fault of the accident and that the conclusions of the district court are unfounded.	0		
485	0.539	Šiemet pavasarį įsteigtai valdančiajai Lietuvos socialdemokratų darbo partijai (LSDDP), vadovaujamai parlamento vicepirmininko Gedimino Kirkilo, kol kas nenumatyta skirti lėšų iš biudžeto.	The ruling Social Democratic Labor Party of Lithuania (LSDDP) founded this spring, which is headed by Gediminas Kirkilas, a Deputy Speaker of the Seimas, is not to be given any money from the budget yet.	The ruling Lithuanian Social Democratic Labour Party (LSDDP), established this spring and led by Gediminas Kirkilas, the vice-president of the parliament, is not yet scheduled to receive funds from the budget.	0		
419	0.549	Kaip jaunas vyras (gim. 1994 m.) sugebėjo pasprukti iš tarnybinio automobilio, pareigūnai kol kas neatskleidžia.	Police officers do not reveal yet how a young man (born in 1994) managed to escape from a police car.	As a young man (born 1994) managed to escape from a service car, officials do not reveal yet.	0		
914	0.549	Penktadienį Šiaurės Korėja pagrasino atnaujinti savo branduolinę programą, jei Vašingtonas neatšauks ekonominių sankcijų Pchenjanui.	On Friday, North Korea threatened to resume its nuclear program if Washington did not lift its economic sanctions imposed on Pyongyang.	On Friday, North Korea threatened to resume its nuclear program if Washington did not lift economic sanctions against Pyongyang.	0		
561	0.561	"Šie epizodai patvirtina mūsų sprendimo teisingumą, bet jo nepaskubino", - pirmadienį laikraščiui "Ouest France" sakė ANSES direktoriaus pavaduotoja Francoise Weber (Fransuaza Veber).	“These episodes confirm the soundness of our decision, but they did not precipitate it,” Francoise Weber, deputy director at ANSES, told the Ouest France newspaper on Monday.	"These episodes confirm the correctness of our decision, but they have not hastened it," Francoise Weber, deputy director of ANSES, told Ouest France on Monday.	0		
444	0.57	Katastrofos priežastis kol kas nenustatyta, o preliminari NTSB ataskaita turėtų būti paskelbta po dviejų savaičių.	The cause of the crash hasn't been determined, but a preliminary NTSB report should be issued in two weeks.	The cause of the disaster has not yet been determined and a preliminary NTSB report should be published in two weeks' time.	0		
264	0.592	"Korumpuoti kapitalo srautai neturėtų būti laukiami nė vienoje pasaulio valstybėje - ne tik čia ar mūsų šalyse", - pridūrė ji.	“Corrupted capital flows should not be welcome in any country of the world - not only here or in our countries,” she added.	"Corrupt capital flows should not be expected in any country in the world - not just here or in our countries," she added.	0		
24	0.598	O jeigu nesusitari su valdyba, tada yra galimybė sustabdyti narystę ir eiti su komitetu", - pridūrė jis.	And if someone does not agree with the Board, then there is a possibility to suspend membership and run with a committee," he added.	And if you do not agree with the board, then there is a possibility to suspend membership and go with the committee, "he added.	0		
276	0.613	"SK ID Solutions" sutrikimo priežastį yra identifikavusi, tačiau dėl saugumo jos neatskleidžia.	SK ID Solutions has identified the failure cause, but does not disclose it for security reasons.	SK ID Solutions has identified the cause of the disorder but does not disclose it for safety reasons.	0		
750	0.615	Už tai, kad E. Viskontas būtų paskirtas VRK nariu, per atvirą balsavimą pasisakė 95 Seimo nariai, niekas nebuvo prieš, susilaikė 3 parlamentarai.	During open voting, 95 members of the Seimas supported appointing E. Viskontas to the CEC, no one was against, 3 members of the Seimas abstained.	In favour of appointing E. Viskontas as a member of the CEC, 95 members of the Seimas spoke in an open vote, no one was against and 3 parliamentarians abstained.	0		
298	0.623	- Nuo krizės pradžios "Lion Air" niekada su manimi nesusisiekė.	- Since the time of the crisis, I was never contacted by Lion Air.	- Since the beginning of the crisis, Lion Air has never contacted me.	0		
186	0.625	"Man tai buvo pats netikėčiausias dalykas, apie kurį niekada negalėjau pagalvoti.	"That was the most unexpected thing to me that I could never think of.	it was the most unexpected thing for me that I could never think of.	0		
129	0.631	Mokslininkai pataria dronus gyvūnams filmuoti naudoti atsakingai, neskristi per arti, nekelti triukšmo ir neskraidyti ten, kur yra draudžiama.	Scientists advise to use drones for filming animals in a responsible manner, not to fly too close, not to cause noise and not to fly where that is forbidden.	Scientists advise using drones to film animals responsibly, not to fly too close, not to make noise and not to fly where it is forbidden.	0		
641	0.637	Įstatymas įpareigoja deklaruoti ne tik savo, bet ir sutuoktinio duomenis.	The Law orders to declare not only one’s own but also spouse’s data.	The law obliges to declare not only your own data, but also the data of the spouse.	0		
261	0.643	Anot jos, Kinijos atsivėrimas svarbus ne tik Europai, bet ir šiai valstybei, taip pat pasauliniam ekonomikos augimui.	According to her, opening of China is important not only for Europe, but also for China, as well as for the global economic growth.	According to her, the opening up of China is important not only for Europe, but also for this country, as well as for global economic growth.	0		
627	0.649	"Nesu tikras, ar susitiksime Paryžiuje.	“I am not sure we will meet in Paris.	I'm not sure we'll meet in Paris.	0		
759	0.651	Vestuvinė suknelė nėra lengvas, visomis prasmėmis, drabužis - tai sudėtinga konstrukcija, joje daug medžiagos, suknelė sunki, nepatogi judėjimui.	A wedding dress is not an easy outfit, in all senses of the word - it is a complicated structure, with a lot of fabric, the dress is heavy, not comfortable to move in.	The wedding dress is not easy, in every sense, the garment - it is a complex construction, it is rich in material, the dress is heavy and uncomfortable for movement.	0		
9	0.651	Prieš tai buvusiame teismo posėdyje įtariamasis Š. Gustainis pranešė atsisakąs savo advokato, nes jis nebegalįs jam sumokėti.	In the previous hearing the suspect Š. Gustainis informed the court that he refused his advocate as he was not able to pay him.	At the previous hearing, the suspect Šarūnas Gustainis announced that he was refusing his lawyer because he would no longer be able to pay him.	0		
532	0.651	"Microsoft" steigėjas Billas Gatesas parodoje Pekine pristatė aukštųjų technologijų tualetą, kuriam nereikia vandens vandentiekio vamzdžiuose, pranešė "Reuters".	In the exhibition in Beijing, Microsoft founder Bill Gates presented a high tech toilet that does not need water in water supply pipelines, Reuters reported.	Microsoft founder Bill Gates presented a high-tech toilet at an exhibition in Beijing that doesn't need water in water supply pipes, Reuters reported.	0		
443	0.652	Tyrėjai ketina išgabenti nuolaužas ir tada nuodugniai jas apžiūrėti, tačiau vilkikui ir sunkvežimiui nebus lengva pasiekti tą vietą, kalbėjo jis.	Investigators plan to retrieve the wreckage before performing their close inspection, but it would not be easy for a trailer and a truck to reach the place, he said.	Investigators are going to remove the debris and then inspect it thoroughly, but it will not be easy for the tractor and truck to reach that place, he said.	0		
466	0.665	"Automobilio vairuotojas negalėjo numatyti, kad motociklas važiuos tokiu dideliu greičiu", - sakė teisėjas.	"The car driver could not foresee that the motorcycle would be going so fast,” the judge said.	"The car driver could not predict that the motorcycle would be driving at such a high speed," the judge said.	0		
225	0.68	Tiesa, naudingiausiu savaitės krepšininku tapti jam neleido komandos patirtas pralaimėjimas.	But he was not able to become the most valuable basketball player of the week because his team lost.	However, he was prevented from becoming the most useful player of the week by the loss suffered by the team.	0		
7	0.68	Tai nėra tik formalus pasėdėjimas", - teigė L. Belevičius.	It is not just a formal gathering,” L. Belevičius noted.	This is not just a formal sitting, "said L. Belevičius.	0		
493	0.685	Mat ši partija kol kas nėra dalyvavusi nei vienuose rinkimuose.	It is so because this party has not been in an election yet.	Because this party has not yet participated in any of the elections.	0		
890	0.703	Jis sakė nesigailintis sprendimo palikti Kauno politiką dėl paramos V. Ušackui, tik apgailestavo, kad "Lietuva neteko unikalios galimybės turėti tikrą lyderį tarptautinių santykių kontekste".	He said he did not regret his decision to leave the Kaunas political stage in order to support V. Ušackas, he only regretted that “Lithuania lost a unique possibility to have a real leader in international relationships”.	He said he did not regret the decision to leave Kaunas policy because of support for V. Ušackas, but regretted that "Lithuania has lost a unique opportunity to have a real leader in the context of international relations."	0		
818	0.706	"Trijų mėnesių arba riboto termino apsidraudžiamosios priemonės nėra vertos popieriaus, ant kurios bus surašytos", - pareiškė jis.	“A backstop with a three-month limit on it or expiry date of that nature isn’t worth the paper it’s written on,” he declared.	"Hedging measures of three months or a limited time are not worth the paper on which they will be written," he stated.	0		
292	0.711	Paieškų komandos dar nėra radusios antrosios juodosios dėžės, įrašinėjančios pokalbius pilotų kabinoje.	The searchers have not found the second black box yet, which records the talks in the pilots’ cockpit.	Search teams have not yet found a second black box recording conversations in the cockpit.	0		
804	0.714	Pastarosios nuostatos p. Mažeika nesiūlo koreguoti.	Mr. Mažeika does not propose to amend this provision.	Mr. Mažeika does not propose to adjust the latter provision.	0		
77	0.718	Kosovo komanda negalėjo atvykti į Ukrainą, kadangi šios šalys neturi jokių diplomatinių santykių.	The Kosovo team could not come to Ukraine as these countries do not have any diplomatic relationship.	The Kosovo team could not come to Ukraine because these countries have no diplomatic relations.	0		
957	0.724	Tačiau merė negalėjo atmesti galimybės, kad pastatu galbūt naudojosi savavališkai ten apsigyvenę žmonės.	But the mayor could not rule out that squatters might have been using the building.	However, the mayor could not rule out the possibility that the building might have been used by people who had settled there arbitrarily.	0		
312	0.732	Jis nesprogo ore, o lėktuvo varikliai, kai jis palietė vandenį, veikė didelėmis apsukomis - tai rodo visos nulūžusios turbinos mentės", - aiškino pareigūnas.	It did not explode in the air, and the aircraft engine was running at high RPM when it touched the water - it's marked by the loss of all the blades of the turbine,” the official explained.	It did not explode in the air and the aircraft's engines were operating in large revolutions when it touched the water, as shown by all the broken turbine blades, "the official explained.	0		
578	0.745	"Mes sukūrėme naujos kartos prekybos centrą, suteikiantį emocijas ir patirtį, nepasiekiamas internetu.	“We have created a new generation shopping center, giving emotions and experience one cannot get online.	"We have created a new generation shopping centre that provides emotions and experience inaccessible online.	0		
877	0.747	Vis dėl to, šeimininkai persvarą išsaugojo ir neleido "Fulham" ekipai išplėšti lygiųjų.	Still, the hosts kept the advantage and did not allow the Fulham team to have a draw.	However, the hosts retained the lead and did not allow Fulham to pluck the draw.	0		
619	0.757	"Na, kadangi skirtumas keli tūkstančiai, tai tikrai esminio skirtumo rinkimų rezultatams tai nedaro", - aiškino A. Anušauskas.	"As the difference is several thousands, these ballots really do not make a basic difference for the outcome of the elections,” A. Anušauskas explained.	"Well, since the difference is several thousand, it really does not make a fundamental difference to the election results," explained A. Anušauskas.	0		
336	0.766	R. Masiulis: Lietuvos oro uostai "braška", todėl juos reikia atnaujinti	R. Masiulis: Lithuanian airports are inadequate, therefore need to be renovated	R. Masiulis: Lithuanian airports are "Braška," so they need to be renewed	1		
458	0.769	Šioje byloje jau buvo paskelbtas išteisinamasis nuosprendis, tačiau su juo nesutinka prokuratūra.	A verdict of not guilty has been already given in the case, but the public prosecutors disagree.	A conviction has already been handed down in this case, but the Public Prosecutor's Office does not agree with it.	1		
838	0.788	Kaip rodo praktika, dabar galiojanti baudų sistema ne visada užkerta kelią tolesniems pažeidimams, nes subjektai, sumokėję baudas, toliau daro pakartotinus pažeidimus", - kalbėjo A. Vinkus.	The practice shows that the current system of fines does not always prevent further violations, as entities, having paid fines, continue committing repeated violations,” A. Vinkus spoke.	As practice shows, the current system of fines does not always prevent further infringements as entities continue to commit repeated infringements after paying fines, "said A. Vinkus.	0		
519	0.792	Kito kelio mums tiesiog nėra."	We just don’t have any other way.”	There is simply no other way for us. "	0		
97	0.797	Bet tai dar ne viskas.	But that is not everything.	But that is not all.	0		
780	0.803	Britų žvaigždė tikina dažnai sulaukdavęs užgaulių žodžių ir patyčių, kas jo vaikystę padarė nelengvą, kadangi, kaip pats įvardina, jis buvo "labai aukštas ir nerangus".	The British star says he used to get some picking and jeer, which made his childhood not easy, because, as he says, he was “very tall and clumsy”.	The British star claims to have often received abusive words and bullying, which made his childhood uneasy because, as he himself points out, he was "very tall and clumsy."	0		
492	0.843	Todėl dabartinis teisinis reguliavimas neleidžia tik šiemet pavasarį įsteigtai LSDDP tikėtis gauti pinigų iš biudžeto.	Therefore, the current legal regulation does not allow LSDDP, which was founded only this spring, to expect any money from the budget.	Therefore, the current legal regulation does not allow the LSDP, which was set up only this spring, to expect money from the budget.	0		
659	0.871	Diskusijoje kalbėjusi švietimo ir mokslo ministrė Jurgita Petrauskienė teigė, kad per pastaruosius dešimt metų į ugdymo turinio atnaujinimą investuota per 30 mln. eurų, bet rezultatų nematyti.	Jurgita Petrauskienė, the Minister of Education and Science, who spoke during the discussion, said that over EUR 30 million had been invested into education content update in the recent ten years, however, no results are visible.	Minister of Education and Science Jurgita Petrauskienė, who spoke in the discussion, said that over EUR 30 million has been invested in updating educational content over the last ten years, but no results can be seen.	0		
607	0.871	Konservatorių pirminiai rinkimai: klaidas lėmė nepatyrimas	Preliminary elections in the conservatives’ party: mistakes due to lack of experience	Conservative primary election: Mistakes caused by inexperience	0		
841	0.883	Kaip teigia Ūkio ministerija, šiuo metu gamintojams nenustatyta prievolė tinkamai ženklinti gaminį ir taip užtikrinti jo atsekamumą.	According to the Ministry of Economy, currently manufacturers are not subject to the obligation to label a product properly and thus to ensure its traceability.	According to the Ministry of Economy, there is currently no obligation for manufacturers to properly label a product to ensure its traceability.	0		
401	0.896	Spalio 23 dieną EK atmetė Italijos biudžeto projektą, kaip neatitinkantį Stabilumo ir augimo pakto reikalavimų.	On 23 October, the EC rejected the draft budget of Italy as not in line with the requirements of the Stability and Growth Pact.	On 23 October, the EC rejected the Italian draft budget as not meeting the requirements of the Stability and Growth Pact.	0		
557	0.906	Šis dirvožemio dezinfekavimo chemikalas neturėtų kontaktuoti su augalais ar ūkių darbuotojais.	This ground disinfectant is not supposed to come in contact with plants or farm workers.	This soil disinfectant should not come into contact with plants or farm workers.	0		
